Marka,Model,Year,Price,Brand ID,Model ID
Land Rover,Range Rover,2022,140000000,4,6
Toyota,Camry,2019,13077225,0,38
Toyota,RAV 4,2018,16000000,0,93
Toyota,Camry,2014,6800000,0,38
Kia,Sportage,2014,9410000,2,125
Hyundai,Elantra,2022,12290000,13,17
Mercedes-Benz,C 220,1996,3000000,12,232
GAZ,GAZel' NEXT,2021,12500000,32,382
Mitsubishi,Outlander,2022,20900000,14,77
Mercedes-Benz,190,1993,550000,12,119
Hyundai,Grandeur,2023,28500000,13,108
Lexus,NX 300,2021,24000000,20,203
Toyota,Corolla,2022,12550000,0,65
BMW,530,2004,5500000,11,92
Hyundai,Starex,2005,3600000,13,54
Toyota,Land Cruiser Prado,2006,11000000,0,21
Toyota,Carina II,1991,500000,0,441
Jeep,Grand Cherokee,1994,750000,9,13
BMW,X6,2018,30000000,11,31
Nissan,Maxima,1997,2300000,17,76
Toyota,Land Cruiser,2022,58500000,0,43
Tesla,Model 3,2020,19500000,38,222
Hyundai,Staria,2023,29800000,13,90
Toyota,Camry,2021,22000000,0,38
Honda,Elysion,2005,4500000,15,128
Li,L9,2023,40000000,45,192
Cadillac,De Ville,1977,18000000,25,495
Mercedes-Benz,GL 63 AMG,2015,32000000,12,496
Ford,Mustang,2015,13500000,24,53
Mitsubishi,L200,2022,13700000,14,207
GAZ,24,1973,550000,32,497
Toyota,Hilux,2012,9100000,0,138
BMW,X7,2021,63900000,11,147
Hyundai,Palisade,2023,36000000,13,144
Toyota,Land Cruiser,2000,4200000,0,43
Skoda,Rapid,2019,6000000,40,498
BMW,530,2022,35000000,11,92
Toyota,Camry,2012,9550000,0,38
Hyundai,Sonata,2022,17600000,13,20
Audi,100,1988,1350000,6,22
Toyota,Camry,2003,5500000,0,38
Toyota,Camry,2003,4600000,0,38
Volkswagen,Passat,1998,2100000,23,101
Land Rover,Range Rover,2020,84800000,4,6
BMW,M240,2021,31000000,11,499
Land Rover,Range Rover Evoque,2018,23000000,4,471
VAZ,2121 Niva,2023,6750000,16,319
Subaru,Forester,2007,5100000,19,118
Mercedes-Benz,E 420,1997,5500000,12,500
Mercedes-Benz,Viano,2011,10500000,12,501
Audi,A6,1997,2500000,6,127
Hyundai,Solaris,2014,10000,13,114
Porsche,Panamera,2009,14500000,8,40
Toyota,Land Cruiser Prado,1997,5999999,0,21
Chevrolet,Cobalt,2021,5800000,22,214
BMW,X5,2015,19500000,11,30
Kia,K5,2020,15000000,2,4
Kia,Sportage,2022,16300000,2,125
Tesla,Model 3,2019,19500000,38,222
Hyundai,Starex,2012,7200000,13,54
Mercedes-Benz,E 500,2006,7400000,12,246
Toyota,Camry,2023,21900000,0,38
Voyah,Free,2022,27000000,35,112
Toyota,Camry,2007,5400000,0,38
Lexus,GS 300,2003,5700000,20,80
Ford,Mondeo,2016,10000000,24,244
Mitsubishi,Outlander,2015,10490000,14,77
Mercedes-Benz,Sprinter,2015,20000000,12,145
Infiniti,FX35,2006,7500000,28,502
Lexus,RX 350,2022,51500000,20,66
Mercedes-Benz,Sprinter,2003,9500000,12,145
Kia,Magentis,2001,3000000,2,503
Volkswagen,Touareg,2008,6300000,23,154
Hyundai,Santa Fe,2013,11000000,13,67
Kia,Soul,2021,13500000,2,91
Toyota,Camry,2021,13400000,0,38
Mitsubishi,Pajero,2019,20500000,14,102
Lexus,RX 350,2014,17900000,20,66
Subaru,Forester,1997,2900000,19,118
Nissan,Almera,1998,690000,17,304
Lexus,GS 300,1999,4700000,20,80
Daewoo,Nexia,2006,1180000,37,133
Hyundai,Grandeur,2016,11000000,13,108
GAZ,GAZel',2013,3700000,32,95
Peugeot,301,2016,5200000,52,320
BMW,525,1994,3800000,11,49
Mercedes-Benz,E 230,1992,1400000,12,153
Toyota,Camry,2007,5600000,0,38
Mitsubishi,Pajero,1993,2500000,14,102
GAZ,GAZel',2012,8500000,32,95
Honda,Odyssey,1995,2400000,15,297
Mitsubishi,Pajero,1994,3100000,14,102
Toyota,Camry,2020,13000000,0,38
Toyota,Land Cruiser,2017,41000000,0,43
Toyota,Camry,2007,5500000,0,38
Toyota,Starlet,1996,1350000,0,504
Toyota,Camry,2014,12000000,0,38
Subaru,Forester,1998,3000000,19,118
BMW,530,2002,6450345,11,92
Hyundai,Accent,2021,9800000,13,50
Toyota,Land Cruiser Prado,2012,21000000,0,21
Toyota,Tacoma,2008,17500000,0,9
Kia,Rio,2014,5200000,2,151
Toyota,Highlander,2022,32000000,0,19
Lexus,LX 570,2012,29000000,20,36
JAC,JS4,2023,11100000,50,505
Hyundai,Santa Fe,2022,21000000,13,67
Mazda,CX-5,2020,15500000,18,121
Honda,Accord,1998,3800000,15,294
Lexus,NX 300,2019,19300000,20,203
Mercedes-Benz,E 200,1990,1300000,12,71
Kia,K3,2022,14800000,2,171
Audi,100,1992,3500000,6,22
Hyundai,Staria,2021,19500000,13,90
Toyota,Land Cruiser Prado,1996,5600000,0,21
Hyundai,Creta,2019,12000000,13,143
Mercedes-Benz,GLS 450,2022,66000000,12,490
Chevrolet,Tracker,2023,12200000,22,506
Land Rover,Defender,2021,50000000,4,309
Nissan,Patrol,1993,3200000,17,29
Mazda,6,2019,12999999,18,237
Hyundai,Palisade,2023,33000000,13,144
Volkswagen,Tiguan,2011,7800000,23,270
Toyota,Mark II,1995,2200000,0,287
Hyundai,Accent,2021,9500000,13,50
Lexus,LX 570,2012,27500000,20,36
Volkswagen,Passat,1997,2800000,23,101
Hyundai,Accent,2014,6100000,13,50
Mercedes-Benz,E 280,1996,3000000,12,140
Hyundai,Sonata,2015,7800000,13,20
Toyota,Land Cruiser,1996,5500000,0,43
Toyota,Land Cruiser,2019,34900000,0,43
Kia,K8,2021,20500000,2,100
BMW,220,2017,18500000,11,507
Honda,Civic,2008,4700000,15,305
VAZ,Priora 2170,2014,4400000,16,44
Toyota,Camry,1992,2500000,0,38
Hyundai,Palisade,2021,26370000,13,144
Infiniti,FX37,2011,12200000,28,208
Infiniti,QX4,2002,4600000,28,508
Chevrolet,Spark,2022,5700000,22,137
BMW,X5,2021,57000000,11,30
Toyota,Land Cruiser 70,2012,22300000,0,464
Mercedes-Benz,CLS 350,2006,7700000,12,89
Toyota,Land Cruiser Prado,2012,21000000,0,21
Mercedes-Benz,G 500,2002,14500000,12,332
Toyota,Camry,2006,6500000,0,38
Cadillac,Escalade,2020,37000000,25,57
Mercedes-Benz,C 180,2015,12500000,12,25
Lexus,GS 300,2008,6800000,20,80
Mazda,CX-5,2017,12500000,18,121
Volkswagen,Passat,1991,1150000,23,101
Kia,Rio,2018,7800000,2,151
Land Rover,Range Rover,2012,15500000,4,6
Toyota,Camry,2021,25000000,0,38
Mercedes-Benz,Sprinter,2010,9500000,12,145
Lexus,GX 470,2008,14000000,20,124
Toyota,Vellfire,2015,24700000,0,0
Toyota,Rush,2022,12300000,0,509
Lexus,NX 350,2022,40000000,20,99
Hyundai,Sonata,2023,16200000,13,20
Cadillac,Escalade,2022,81000000,25,57
Hyundai,Avante,2021,11700000,13,150
Kia,Cerato,2013,7000000,2,223
Hyundai,Sonata,2022,14500000,13,20
Audi,100,1991,2700000,6,22
Tesla,Model Y,2023,23000000,38,158
Kia,K5,2020,15000000,2,4
BMW,550,2006,7200000,11,167
Geely,Monjaro,2023,18700000,59,440
VAZ,2114,2013,2500000,16,27
Nissan,Juke,2013,5983575,17,254
Toyota,Camry,2013,10300000,0,38
Hyundai,Accent,2018,8180000,13,50
Toyota,RAV 4,1998,3850000,0,93
UAZ,Buhanka,1992,600000,1,510
Volkswagen,Polo,2014,4300000,23,152
Mercedes-Benz,E 320,2002,5200000,12,23
Kia,K7,2017,10800000,2,148
Lexus,RX 350,2007,10500000,20,66
Mercedes-Benz,GLE Coupe 43 AMG,2018,38800000,12,511
Toyota,Camry,2008,7000000,0,38
Toyota,Camry,1992,2300000,0,38
Mitsubishi,Diamante,2000,2200000,14,512
Hyundai,Sonata,2021,16900000,13,20
Zeekr,001,2023,23000000,3,5
Toyota,Chaser,1996,1490000,0,224
Nissan,Pathfinder,2006,6000000,17,346
Kia,Cerato,2014,6600000,2,223
Hyundai,Accent,2021,9500000,13,50
Honda,CR-V,1999,3800000,15,174
Kia,K5,2021,18000000,2,4
Volkswagen,Polo,2008,2000000,23,152
Hyundai,Palisade,2022,28800000,13,144
Lexus,NX 200,2022,26000000,20,314
Mercedes-Benz,S 500,1997,3000000,12,37
Volkswagen,Passat,2014,7700000,23,101
BMW,325,1993,1900000,11,452
Subaru,Forester,2002,6700000,19,118
Toyota,Camry,2012,9650000,0,38
Toyota,Avalon,2006,4600000,0,215
Mitsubishi,Delica,1997,2000000,14,81
Toyota,Land Cruiser Prado,2021,33500000,0,21
Nissan,Cefiro,1995,1000000,17,35
Mercedes-Benz,E 220,1993,3000000,12,16
Subaru,WRX STi,2000,10500000,19,513
Neta,U,2022,22000000,68,514
Mitsubishi,Pajero,2006,6500000,14,102
Toyota,Land Cruiser,2012,23490000,0,43
Kia,K5,2022,18000000,2,4
BMW,525,2001,3500000,11,49
Hyundai,Santa Fe,2023,20500000,13,67
Hyundai,Tucson,2022,18000000,13,107
Toyota,Land Cruiser Prado,2022,31200000,0,21
Toyota,Land Cruiser,2008,17428931,0,43
Toyota,Land Cruiser Prado,2010,19200000,0,21
Kia,Bongo,2015,7300000,2,110
Daewoo,Nexia,2012,1800000,37,133
Mercedes-Benz,G 63 AMG,2022,140000000,12,199
Chevrolet,Cruze,2014,5600000,22,45
Hyundai,Sonata,2022,15650000,13,20
Mercedes-Benz,G 350,2011,25000000,12,397
GAZ,GAZel',2006,3300000,32,95
Subaru,Outback,2002,3650000,19,33
VAZ,2114,2013,3000000,16,27
Infiniti,FX35,2007,7500000,28,502
Mercedes-Benz,E 280,1995,3350000,12,140
Jeep,Grand Cherokee,2014,13600000,9,13
Toyota,Camry,2022,18200000,0,38
Kia,K3,2023,11000000,2,171
Lexus,LX 570,2009,19900000,20,36
Kia,K5,2021,16900000,2,4
Hyundai,Accent,1997,400000,13,50
Toyota,Land Cruiser Prado,2019,26700000,0,21
BMW,X5,2008,9200000,11,30
Mazda,626,1989,700000,18,204
Audi,A6 allroad,2008,7200000,6,515
Cadillac,Escalade,2021,77000000,25,57
Toyota,Land Cruiser,2018,45000000,0,43
Mercedes-Benz,CLA 45 AMG,2015,15500000,12,516
Zeekr,001,2023,32200000,3,5
Kia,K7,2011,6900000,2,148
Lexus,LX 570,2021,75000000,20,36
BMW,X7,2021,61000000,11,147
Mitsubishi,Mirage,2000,2500000,14,517
Hyundai,Staria,2022,27777777,13,90
Mercedes-Benz,190,1990,850000,12,119
Toyota,4Runner,2004,8500000,0,82
Toyota,Caldina,1995,1800000,0,356
Hyundai,Sonata,2021,11300000,13,20
Toyota,RAV 4,2013,10500000,0,93
Lexus,RX 350,2021,28000000,20,66
Chery,Tiggo 8 Pro,2022,13800000,60,418
Toyota,RAV 4,2014,12480000,0,93
Chery,Tiggo 8 Pro,2021,10550000,60,418
Hyundai,Palisade,2021,25200000,13,144
Toyota,Corolla,2020,11980000,0,65
Hyundai,Creta,2019,10040000,13,143
Toyota,Camry,2020,16900000,0,38
Mercedes-Benz,G 55 AMG,2007,18500000,12,311
Hyundai,Elantra,2020,9945550,13,17
Mercedes-Benz,C 280,1994,2450000,12,47
Toyota,Harrier,2001,6300000,0,518
Kia,Cee’d,2022,12480000,2,136
Volkswagen,ID.4,2022,17000000,23,75
Toyota,Corolla,2006,3400000,0,65
Mitsubishi,Delica,1994,3900000,14,81
Hyundai,Avante,2007,3000000,13,150
Kia,K5,2015,8600000,2,4
Hyundai,Elantra,2013,5200000,13,17
Kia,K5,2021,13600000,2,4
Lexus,RX 330,2005,9300000,20,168
Hyundai,Santa Fe,2017,13000000,13,67
Toyota,Corolla,1996,2100000,0,65
Zeekr,001,2022,26700000,3,5
Audi,100,1990,1200000,6,22
Mercedes-Benz,S 320,1995,3100000,12,240
BMW,X5,2022,59000000,11,30
Toyota,Sienna,2014,13400000,0,162
Volkswagen,ID.4,2021,19500000,23,75
Kia,Sorento,2021,19100000,2,64
Toyota,Camry,2011,10600000,0,38
BMW,525,2013,10000000,11,49
VAZ,2114,2013,3000000,16,27
BMW,525,2013,10000000,11,49
VAZ,2114,2013,3000000,16,27
Toyota,Vellfire,2009,7300000,0,0
Toyota,FJ Cruiser,2007,13500000,0,307
Mercedes-Benz,S 500,2012,15000000,12,37
Kia,K7,2020,19000000,2,148
Chevrolet,Captiva,2013,7800000,22,385
Toyota,RAV 4,2021,18500000,0,93
Toyota,Land Cruiser,2017,40000000,0,43
Mercedes-Benz,GLE Coupe 53 AMG,2023,80000000,12,212
VAZ,Priora 2172,2013,2800000,16,277
Toyota,Land Cruiser,2010,21500000,0,43
BMW,530,2017,17200000,11,92
Toyota,Land Cruiser Prado,2021,38500000,0,21
Subaru,Outback,2008,6600000,19,33
Tesla,Model 3,2021,18200000,38,222
Toyota,4Runner,2014,17500000,0,82
Opel,Astra,1992,1400000,27,457
Porsche,Cayenne,2013,14500000,8,12
Toyota,RAV 4,2010,8650000,0,93
Volkswagen,Golf,1992,2200000,23,85
Mercedes-Benz,E 350,2005,6200000,12,83
Volkswagen,Polo,2022,11000000,23,152
Lexus,LS 430,2001,6500000,20,519
Hyundai,Tucson,2023,15430000,13,107
Kia,Stinger,2019,22500000,2,265
Mercedes-Benz,GLC Coupe 300,2022,38000000,12,520
Toyota,Land Cruiser,2016,35000000,0,43
Mercedes-Benz,Sprinter,2022,30500000,12,145
Toyota,Camry,2001,5000000,0,38
Mitsubishi,Pajero,2007,10800000,14,102
Toyota,Highlander,2012,14500000,0,19
Hyundai,Santa Fe,2023,22500000,13,67
Chery,Tiggo 8 Pro,2022,14200000,60,418
Toyota,Corolla,2013,8180000,0,65
Hyundai,Tucson,2023,18800000,13,107
Toyota,Highlander,2004,9800000,0,19
Hyundai,Tucson,2022,18000000,13,107
Toyota,Hilux Surf,1995,4400000,0,238
Mercedes-Benz,E 200,1990,1800000,12,71
Hyundai,Elantra,2018,8900000,13,17
Mercedes-Benz,C 280,1995,2500000,12,47
Toyota,Camry,2020,18500000,0,38
Toyota,Highlander,2019,23000000,0,19
Toyota,Highlander,2001,7200000,0,19
Toyota,Camry Gracia,1997,2700000,0,521
Mercedes-Benz,S 320,1998,4500000,12,240
Toyota,Hilux,2021,28000000,0,138
Subaru,Outback,2006,7200000,19,33
Mitsubishi,Pajero,1991,7000000,14,102
Lexus,GS 350,2015,15500000,20,55
Mercedes-Benz,GLE Coupe 450 AMG,2022,60500000,12,522
Toyota,Camry,2014,9650000,0,38
Tesla,Model 3,2022,21000000,38,222
Skoda,Fabia,2004,1000000,40,523
Toyota,Corolla,2014,7500000,0,65
Nissan,X-Trail,2020,13800000,17,58
Toyota,Camry,2019,19000000,0,38
Hyundai,Terracan,2001,6500000,13,423
Mercedes-Benz,EQS,2022,53900000,12,524
Mercedes-Benz,S 500,2013,23500000,12,37
Nissan,Patrol,2011,15000000,17,29
Nissan,Primera,1996,2500000,17,216
Changan,Auchan A600 EV,2021,9500000,30,525
Land Rover,Range Rover Sport,2006,8000000,4,7
Hyundai,Santa Fe,2020,17500000,13,67
BYD,Seagull,2023,8400000,26,526
Ford,F-Series,2020,29200000,24,284
Hongqi,E-HS9,2022,55000000,36,120
Toyota,Highlander,2023,42000000,0,19
Toyota,Land Cruiser,2005,11650000,0,43
Toyota,RAV 4,2017,13943625,0,93
Toyota,RAV 4,2015,10405825,0,93
VAZ,Granta 2190,2016,2900000,16,327
Hyundai,Sonata,2021,15000000,13,20
Kia,Rio,2020,8682050,2,151
Zeekr,001,2023,27700000,3,5
Kia,K5,2020,12590000,2,4
Volkswagen,Polo,2021,9660000,23,152
Volkswagen,Polo,2021,9660000,23,152
Toyota,Camry,2002,5500000,0,38
Volkswagen,Polo,2021,9800000,23,152
Hyundai,Sonata,2019,11700000,13,20
Lexus,LX 570,2020,75000000,20,36
Nissan,Cefiro,1996,2250000,17,35
BMW,525,1995,2750000,11,49
Honda,Odyssey,2002,4900000,15,297
Mercedes-Benz,Sprinter,2009,9500000,12,145
Mitsubishi,Montero Sport,1999,5300000,14,24
Toyota,Land Cruiser Prado,2014,24500000,0,21
Toyota,Camry,2023,21000000,0,38
Toyota,Corolla,2019,10700000,0,65
Hyundai,Accent,2015,5300000,13,50
Zeekr,001,2023,29500000,3,5
ZAZ,Chance,2013,1050000,47,206
Subaru,Legacy,2012,5500000,19,62
Lexus,ES 250,2018,21500000,20,94
Daewoo,Nexia,2006,1970000,37,133
ZAZ,Chance,2012,1500000,47,206
Hyundai,Matrix,2006,4300000,13,527
Hyundai,Sonata,2017,9800000,13,20
Toyota,Highlander,2022,26500000,0,19
Chevrolet,Malibu,2020,13500000,22,291
Toyota,Avensis,2009,6400000,0,51
Toyota,Windom,2002,4950000,0,104
Kia,Sportage,2017,12000000,2,125
Audi,A6,1994,2600000,6,127
Mercedes-Benz,S 500,2002,5000000,12,37
Toyota,Land Cruiser,2014,29500000,0,43
Toyota,Carina II,1990,900777,0,441
Volkswagen,Multivan,2005,8000000,23,135
Honda,e:NS1,2022,12800000,15,60
Toyota,Camry,2022,16500000,0,38
Lexus,LX 600,2022,93000000,20,230
Toyota,Land Cruiser,2008,23000000,0,43
BMW,520,2007,6400000,11,281
Mercedes-Benz,E 260,1991,2500000,12,48
Mercedes-Benz,E 230,1988,1300000,12,153
Mercedes-Benz,GLS 63 AMG,2023,108000000,12,528
Toyota,Tundra,2022,39990000,0,79
Toyota,RAV 4,2021,22000000,0,93
Mercedes-Benz,E 280,1998,4100000,12,140
Nissan,Skyline,1994,2500000,17,529
Toyota,Camry,2002,5300000,0,38
Mazda,626,1988,550000,18,204
Porsche,Taycan,2022,75000000,8,241
Hyundai,Palisade,2022,32000000,13,144
Nissan,Qashqai,2020,12999950,17,182
Toyota,Camry,2014,11800000,0,38
Wuling,Sunshine,2010,3000000,69,530
Subaru,Forester,2021,12300000,19,118
Volkswagen,ID.4,2022,15400000,23,75
Toyota,Grand Hiace,2001,6900000,0,531
Toyota,Camry,2007,6300000,0,38
Toyota,Venza,2012,12000000,0,443
Toyota,Camry,2003,4500000,0,38
Chevrolet,Equinox,2021,15500000,22,532
Toyota,RAV 4,2021,18100000,0,93
Ford,Explorer,2005,6500000,24,533
Hyundai,Palisade,2022,33100000,13,144
Genesis,GV80,2022,37000000,31,534
Chevrolet,Nexia,2021,4800000,22,133
Mitsubishi,Pajero,2002,5000000,14,102
Toyota,RAV 4,2021,17000000,0,93
Audi,Q7,2017,31500000,6,131
Volkswagen,Polo,2019,7700000,23,152
Hyundai,Elantra,2022,11190000,13,17
Hyundai,Santa Fe,2021,16200000,13,67
Suzuki,Grand Vitara,2007,4000000,21,180
Volvo,V90,2021,22500000,29,535
VAZ,XRAY Cross,2022,8900000,16,536
Honda,CR-V,2001,4500000,15,174
Toyota,Land Cruiser,2016,30500000,0,43
Toyota,Estima,2007,6500000,0,2
Toyota,Previa,2001,5300000,0,317
GAZ,GAZel',2007,4500000,32,95
Land Rover,Range Rover Sport,2020,45000000,4,7
BMW,X5,2021,48000000,11,30
Volkswagen,Caravelle,2010,11300000,23,295
Mitsubishi,Eclipse Cross,2021,14600000,14,537
Lotus,Eletre,2023,63500000,34,111
Lexus,LX 570,2016,44500000,20,36
Toyota,Camry,1994,2700000,0,38
BMW,730,1994,3100000,11,446
Toyota,Camry,2021,22200000,0,38
BMW,X5,2022,60000000,11,30
Mercedes-Benz,GLK 300,2012,11500000,12,538
Honda,e:NS1,2022,12550000,15,60
Mercedes-Benz,E 320,1993,2900000,12,23
Tesla,Model Y,2020,27000000,38,158
BMW,X7,2023,75000000,11,147
Kia,Sorento,2018,14300000,2,64
Mitsubishi,Outlander,2023,20990000,14,77
Volkswagen,Tiguan,2017,14550000,23,270
Toyota,Highlander,2013,14945400,0,19
Toyota,Highlander,2013,15810000,0,19
Mitsubishi,Delica,1995,6500000,14,81
Toyota,Camry,2016,13540000,0,38
Toyota,RAV 4,2015,12607925,0,93
Toyota,RAV 4,2015,12607925,0,93
Toyota,Camry,2006,7000000,0,38
Mercedes-Benz,GL 500,2007,7300000,12,454
Toyota,Camry,2020,15200000,0,38
Toyota,RAV 4,2004,6190000,0,93
Toyota,Camry,2006,5000000,0,38
Toyota,Camry,2002,4200000,0,38
Hyundai,Accent,2021,8000000,13,50
GAZ,GAZel',2012,5500000,32,95
Zeekr,001,2023,28500000,3,5
BMW,530,2021,30000000,11,92
BMW,X5,2012,12500000,11,30
BMW,X1,2018,13500000,11,494
BMW,X5,2019,39500000,11,30
Lexus,LX 570,2018,61000000,20,36
Porsche,Cayenne,2005,8500000,8,12
Lexus,ES 300,2003,5800000,20,355
Mazda,6,2003,2700000,18,237
Kia,Sportage,2012,6700000,2,125
Subaru,Outback,2004,4300000,19,33
Chevrolet,Nexia,2021,5100000,22,133
Mitsubishi,Pajero,1992,2800000,14,102
Nissan,Primera,1997,990000,17,216
Lexus,ES 250,2019,33500000,20,94
Toyota,RAV 4,2019,11000000,0,93
Toyota,Camry,2000,4500000,0,38
Toyota,Camry,2012,10400000,0,38
GAZ,GAZel',2007,4500000,32,95
Toyota,Land Cruiser Prado,1997,5500000,0,21
Toyota,Land Cruiser,2022,62999999,0,43
Lexus,GS 350,2013,14500000,20,55
FAW,1024,2009,1900000,56,384
Toyota,Fortuner,2021,19950000,0,393
VAZ,Priora 2170,2012,2200000,16,44
BMW,X5,2014,25000000,11,30
Hyundai,Sonata,2011,7900000,13,20
Mercedes-Benz,C 180,2017,12500000,12,25
Hyundai,Getz,2008,2500000,13,539
Mazda,626,1990,550000,18,204
Nissan,Juke,2013,8200000,17,254
Nissan,Juke,2013,8200000,17,254
Volkswagen,Touareg,2012,12800000,23,154
Toyota,Highlander,2019,20800000,0,19
Mercedes-Benz,V 250,2018,30400000,12,474
Toyota,Land Cruiser,2021,43000000,0,43
Nissan,Cefiro,1994,2200000,17,35
Mercedes-Benz,E 230,1993,1450000,12,153
Lexus,LX 570,2008,18500000,20,36
Infiniti,QX80,2020,38000000,28,78
Mazda,Luce,1986,2150000,18,540
VAZ,2121 Niva,2019,5100000,16,319
Mercedes-Benz,E 500,2005,7500000,12,246
BMW,X7,2022,65500000,11,147
Toyota,RAV 4,1996,2800000,0,93
Lexus,ES 350,2015,18000000,20,219
Mazda,Tribute,2007,6500000,18,541
Mercedes-Benz,E 220,1993,2500000,12,16
Volkswagen,Tiguan,2020,17000000,23,270
Mitsubishi,Pajero,2009,10200000,14,102
BMW,525,1994,2600000,11,49
Subaru,Legacy,1999,3700000,19,62
Mercedes-Benz,GL 500,2014,20000000,12,454
Toyota,Land Cruiser Prado,2018,32000000,0,21
Skoda,Yeti,2014,6000000,40,256
Subaru,Legacy,1998,3200000,19,62
Kia,Bongo,2016,14500000,2,110
Nissan,Primera,1997,2700000,17,216
Lexus,RX 350,2023,46800000,20,66
Toyota,Land Cruiser Prado,2022,29900000,0,21
Toyota,bZ4X,2022,16000000,0,293
Honda,CR-V,1996,3000000,15,174
Toyota,RAV 4,2013,11180000,0,93
Hyundai,Creta,2021,11060000,13,143
Chevrolet,Malibu,2020,12020000,22,291
Hyundai,Tucson,2019,12420000,13,107
Hyundai,Sonata,2020,14010000,13,20
Mitsubishi,Outlander,2022,13828777,14,77
Toyota,Camry,2019,16000000,0,38
Toyota,Land Cruiser,2009,19500000,0,43
Mazda,Tribute,2002,3700000,18,541
JAC,,2022,9000000,50,426
Toyota,Alphard,2005,8000000,0,1
Volkswagen,Jetta,2003,2600000,23,161
Mercedes-Benz,190,1988,750000,12,119
Kia,Rio,2014,4850000,2,151
Kia,Pegas,2023,8000000,2,542
Nissan,Juke,2014,7500000,17,254
Toyota,Sienna,2017,14500000,0,162
Hyundai,Sonata,2001,1300000,13,20
Mercedes-Benz,S 500,2007,8800000,12,37
Lexus,ES 300,2002,5800000,20,355
Mitsubishi,Delica,1997,3800000,14,81
Land Rover,Range Rover,2009,9800000,4,6
Toyota,Prius,2007,5000000,0,543
Mitsubishi,Delica,2006,10000000,14,81
Porsche,Cayenne,2004,4650000,8,12
Mercedes-Benz,C 280,1995,3300000,12,47
Hyundai,Sonata,2021,17000000,13,20
Mercedes-Benz,S 350,2014,23500000,12,130
Mercedes-Benz,C 180,2014,15000000,12,25
Mercedes-Benz,Sprinter,2010,10000000,12,145
Volkswagen,Touareg,2004,5300000,23,154
Land Rover,Range Rover,2018,56000000,4,6
Nissan,Rogue,2017,11000000,17,247
Volkswagen,Touareg,2004,5157434,23,154
Mercedes-Benz,G 63 AMG,2020,124000000,12,199
Lexus,NX 250,2022,29500000,20,544
Infiniti,QX80,2019,29500000,28,78
Toyota,Camry,2019,15500000,0,38
Hyundai,Accent,2013,5150000,13,50
Kia,Sportage,2023,16200000,2,125
Toyota,Land Cruiser,2010,14700000,0,43
Mercedes-Benz,R 63 AMG,2007,10800000,12,545
Land Rover,Discovery,2006,9300000,4,149
Toyota,RAV 4,2017,14500000,0,93
Hyundai,Palisade,2021,26000000,13,144
Mercedes-Benz,Sprinter,2015,40000000,12,145
Mercedes-Benz,C 200,2006,5700000,12,472
Honda,Odyssey,2000,4500000,15,297
Toyota,Camry,2007,7250000,0,38
Toyota,Land Cruiser,2022,62000000,0,43
Toyota,Land Cruiser Prado,2007,12500000,0,21
Mercedes-Benz,E 55 AMG,2003,12000000,12,482
Toyota,RAV 4,2019,16500000,0,93
Chevrolet,Equinox,2021,14900000,22,532
Hyundai,Elantra,2019,8900000,13,17
Hyundai,Santa Fe,2023,25500000,13,67
Kia,K5,2021,15900000,2,4
Toyota,Land Cruiser,2010,18200000,0,43
Hyundai,Sonata,2012,6500000,13,20
Mercedes-Benz,E 320,2002,7000000,12,23
FAW,Bestune T77,2022,11500000,56,546
Toyota,Camry,2012,9200000,0,38
Toyota,Land Cruiser,2021,61000000,0,43
Nissan,Qashqai,2015,8700000,17,182
Hyundai,Creta,2021,11260000,13,143
Toyota,Camry,2018,14330000,0,38
Toyota,Corolla,2019,11651275,0,65
Subaru,Outback,2006,3500000,19,33
Nissan,Juke,2012,6050000,17,254
Kia,K3,2021,11800000,2,171
Lexus,RX 300,1999,2800000,20,98
Daewoo,Nexia,2014,2200000,37,133
Toyota,Avensis,2004,5000000,0,51
Lexus,RX 330,2005,8340000,20,168
Mercedes-Benz,E 240,2003,5800000,12,234
Nissan,Cefiro,1996,2200000,17,35
Volkswagen,Golf,1994,2150000,23,85
Toyota,Camry,2019,16500000,0,38
Mercedes-Benz,A 170,2005,3700000,12,547
Chevrolet,TrailBlazer,2022,16500000,22,548
Infiniti,G37,2008,8000000,28,549
Toyota,Land Cruiser Prado,2014,18350000,0,21
Kia,Rio X-Line,2018,8700000,2,221
BMW,X6,2009,12500000,11,31
Audi,100,1990,2100000,6,22
Infiniti,QX60,2018,17800000,28,344
Mercedes-Benz,S 300,1987,1800000,12,550
Toyota,Camry,2020,19500000,0,38
Chevrolet,Malibu,2013,6500000,22,291
Toyota,Highlander,2014,17000000,0,19
Mercedes-Benz,S 350,2007,6000000,12,130
BMW,X7,2021,61000000,11,147
BMW,X5,2017,22000000,11,30
Hyundai,Accent,2020,9500000,13,50
Toyota,Land Cruiser,2015,32500000,0,43
Mitsubishi,Outlander,2006,6900000,14,77
VAZ,2106,2000,600000,16,227
Hyundai,Santa Fe,2020,15800000,13,67
Toyota,Camry,2002,5500000,0,38
Subaru,Legacy,1999,2780000,19,62
Mitsubishi,Outlander,2023,20600000,14,77
VAZ,Granta 2190,2014,2200000,16,327
Suzuki,Grand Vitara,2009,5500000,21,180
Toyota,Highlander,2011,15000000,0,19
BMW,X5,2007,7500000,11,30
Toyota,Land Cruiser,2012,22400000,0,43
